1.,j,,ÅZ37,ÅZ35,ÅZ43,ÅZ33,ÅZ64,ÅZ34,6èü0îs
,ñkäCìπ,ã„íi,,,,,,,246
2.,f,,ÅZ32,ÅZ34,ÅZ37,Å~30,ÅZ36,ÅZ33,5èü1îs
,ñkäCìπ,ã„íi,,,,,,,202
3.,d,,ÅZ33,Å~30,Å~32,ÅZ34,ÅZ34,ÅZ34,4èü2îs
,ñkäCìπ,ã„íi,,,,,,,197
4.,m,,ÅZ33,ÅZ33,Å~26,ÅZ36,ÅZ34,Å~30,4èü2îs
,ñkäCìπ,ã„íi,,,,,,,192
5.,n,,ÅZ35,ÅZ34,Å~20,Å~28,ÅZ35,ÅZ36,4èü2îs
,ñkäCìπ,ã„íi,,,,,,,188
6.,h,,Å~31,Å~31,ÅZ35,ÅZ35,Å~30,ÅZ34,3èü3îs
,ñkäCìπ,ã„íi,,,,,,,196
7.,p,,ÅZ35,Å~29,ÅZ34,Å~28,Å~29,ÅZ39,3èü3îs
,ñkäCìπ,ã„íi,,,,,,,194
8.,c,,ÅZ36,Å~28,ÅZ36,ÅZ36,Å~28,Å~29,3èü3îs
,ñkäCìπ,ã„íi,,,,,,,193
9.,i,,ÅZ34,Å~30,Å~28,ÅZ33,ÅZ36,Å~30,3èü3îs
,ñkäCìπ,ã„íi,,,,,,,191
10.,e,,Å~29,ÅZ36,Å~29,Å~29,ÅZ33,ÅZ33,3èü3îs
,ñkäCìπ,ã„íi,,,,,,,189
11.,g,,Å~32,ÅZ33,ÅZ32,ÅZ35,Å~0,Å~27,3èü3îs
,ñkäCìπ,ã„íi,,,,,,,159
12.,k,,Å~30,Å~28,ÅZ36,Å~30,Å~29,ÅZ43,2èü4îs
,ñkäCìπ,ã„íi,,,,,,,196
13.,o,,Å~27,ÅZ34,Å~30,Å~30,ÅZ36,Å~30,2èü4îs
,ñkäCìπ,ã„íi,,,,,,,187
14.,a,,Å~28,ÅZ33,ÅZ34,Å~29,Å~27,Å~30,2èü4îs
,ñkäCìπ,ã„íi,,,,,,,181
15.,b,,Å~27,Å~29,Å~28,ÅZ35,Å~30,Å~25,1èü5îs
,ñkäCìπ,ã„íi,,,,,,,174
16.,l,,Å~29,Å~30,Å~28,Å~28,Å~28,Å~21,0èü6îs
,ñkäCìπ,ã„íi,,,,,,,164
